periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,year,month,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,total_surveillance,composite_risk_index,severity_score,hospitalization_rate,kecamatan_avg_positif,kecamatan_avg_cfr
202005,3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,2020,5,11,1,10,4,2,2,10,2,0,1,7,0.9090909090909091,0.5,0.1,0.0,0.9,25,0.13014988088378504,0.13,0.2,20.571,0.122
202005,3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,2020,5,14,0,14,2,0,2,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,17,0.3062666248833268,0.3,1.0,9.667,0.019
202005,3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,2020,5,8,0,8,5,1,4,1,0,0,0,1,1.0,0.8,0.0,0.0,1.0,14,0.022295698000801972,0.0,0.0,8.4,0.073
202005,3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,2020,5,5,0,5,3,1,2,5,3,0,0,2,1.0,0.6666666666666666,0.0,0.0,1.0,13,0.150174670085712,0.18,0.6,6.8,0.138
202005,3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,2020,5,11,0,11,4,2,2,6,5,0,0,1,1.0,0.5,0.0,0.0,1.0,21,0.21458080190316375,0.25,0.8333333333333334,20.143,0.176
202005,3174031001,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,2020,5,16,1,15,0,0,0,3,3,0,0,0,0.9375,0.0,0.0,0.0,1.0,19,0.2130707722167747,0.3,1.0,7.6,0.095
202005,3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,2020,5,19,2,17,5,4,1,5,4,0,0,1,0.8947368421052632,0.2,0.0,0.0,1.0,29,0.22207190104087693,0.24,0.8,11.0,0.094
202005,3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,2020,5,7,0,7,2,1,1,5,3,0,0,2,1.0,0.5,0.0,0.0,1.0,14,0.17468785486354704,0.18,0.6,9.375,0.11
202005,3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,2020,5,8,0,8,2,0,2,4,4,0,0,0,1.0,1.0,0.0,0.0,1.0,14,0.26606040388315494,0.3,1.0,12.167,0.047
202005,3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,2020,5,4,0,4,3,1,2,8,3,0,1,4,1.0,0.6666666666666666,0.125,0.0,0.875,15,0.15998535336687233,0.19999999999999998,0.375,19.2,0.071
202005,3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,2020,5,29,0,29,7,3,4,9,7,0,1,1,1.0,0.5714285714285714,0.1111111111111111,0.0,0.8888888888888888,45,0.2779392533779279,0.3111111111111111,0.7777777777777778,11.0,0.094
202005,3175011004,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,2020,5,20,1,19,15,5,10,12,4,0,2,6,0.95,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,47,0.17394974991772502,0.21666666666666665,0.3333333333333333,13.167,0.184
