id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,total_kasus,recovery_rate,mortality_rate,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_std,kecamatan_positif_min,kecamatan_positif_max,kecamatan_positif_sum,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,covid_burden,nama_provinsi_encoded,nama_provinsi_BELUM DIKETAHUI,nama_provinsi_DKI JAKARTA,nama_provinsi_LUAR DKI JAKARTA,nama_kota_encoded,nama_kota_BELUM DIKETAHUI,nama_kota_JAKARTA BARAT,nama_kota_JAKARTA PUSAT,nama_kota_JAKARTA SELATAN,nama_kota_JAKARTA TIMUR,nama_kota_JAKARTA UTARA,nama_kota_KAB.ADM.KEP.SERIBU,nama_kota_LUAR DKI JAKARTA
3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,22,2,20,23,6,17,25,11,5,3,6,25,0.2,0.12,11,0.6402022400867506,15.2,10.401922899156673,3,25,76,1.6447368421052633,90.33457249070632,97.39776951672863,86.61710037174721,59.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,9,0,9,1,0,1,4,2,0,0,2,4,0.0,0.0,2,-0.6355030230571462,11.5,5.089204259999788,4,18,69,0.34782608695652173,19.702602230483272,20.817843866171003,20.63197026022305,10.0,1,False,True,False,3,False,False,False,True,False,False,False,False
3174011001,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET TIMUR,5,0,5,3,1,2,15,5,3,3,4,15,0.2,0.2,5,0.39145582349188107,13.571428571428571,8.941609528064896,1,28,95,1.105263157894737,75.65055762081785,88.10408921933085,86.61710037174721,37.5,1,False,True,False,3,False,False,False,True,False,False,False,False
BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI,2656,49,2607,2752,150,2602,30,340,5,5,52,30,0.16666666666666666,0.16666666666666666,340,4.251175041726832,30.0,,30,30,30,1.0,96.6542750929368,97.39776951672863,97.95539033457248,75.0,0,True,False,False,0,True,False,False,False,False,False,False,False
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,1340,24,1316,911,120,791,30,434,5,5,223,30,0.16666666666666666,0.16666666666666666,434,5.1880331345328985,30.0,,30,30,30,1.0,96.6542750929368,97.39776951672863,97.95539033457248,75.0,2,False,False,True,7,False,False,False,False,False,False,False,True
3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,24,1,23,10,3,7,15,9,1,0,5,15,0.06666666666666667,0.0,9,-0.11674555519634251,13.428571428571429,9.342682392424258,1,30,94,1.1170212765957446,75.65055762081785,55.20446096654275,20.63197026022305,36.0,1,False,True,False,4,False,False,False,False,True,False,False,False
3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,2,0,2,5,2,3,6,1,2,1,2,6,0.3333333333333333,0.16666666666666666,1,-0.10711172420777053,12.8,6.610597552415364,6,23,64,0.46875,31.970260223048324,76.2081784386617,53.71747211895911,13.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,13,0,13,5,3,2,8,7,0,1,0,8,0.0,0.125,7,-0.07985823103504049,6.125,3.313931631332013,3,12,49,1.3061224489795917,46.28252788104089,20.817843866171003,53.71747211895911,21.5,1,False,True,False,3,False,False,False,True,False,False,False,False
3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,5,1,4,3,3,0,8,5,0,1,2,8,0.0,0.125,5,-0.09979138194580787,9.375,5.262739645035518,5,20,75,0.8533333333333334,46.28252788104089,20.817843866171003,53.71747211895911,21.5,1,False,True,False,4,False,False,False,False,True,False,False,False
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,31,1,30,16,6,10,16,5,2,2,7,16,0.125,0.125,5,0.22674784690736874,10.0,6.683312551921141,2,16,40,1.6,78.62453531598513,76.2081784386617,74.53531598513011,40.0,1,False,True,False,2,False,False,True,False,False,False,False,False
