total_surveillance,total_surveillance,odp_completion_rate,pdp_recovery_rate,case_fatality_rate,recovery_rate,active_case_rate,suspected_to_probable_ratio,probable_to_confirmed_ratio,hospitalization_rate,severity_score,kecamatan_encoded,kecamatan_avg_cfr,kecamatan_avg_recovery,year,month,data_completeness,data_consistency_flag,id_kel,nama_kecamatan,nama_kelurahan
25,25,0.9090909090909092,0.5,0.1,0.0,0.9,2.75,0.4,0.2,0.13,44,0.122,0.056,2020,5,1.0,0,3172021007,TANJUNG PRIOK,WARAKAS
17,17,1.0,1.0,0.0,0.0,1.0,7.0,2.0,1.0,0.3,23,0.019,0.046,2020,5,1.0,0,3172031001,KOJA,KOJA
14,14,1.0,0.8,0.0,0.0,1.0,1.6,5.0,0.0,0.0,7,0.073,0.053,2020,5,1.0,0,3175091004,CIRACAS,SUSUKAN
13,13,1.0,0.6666666666666666,0.0,0.0,1.0,1.6666666666666667,0.6,0.6,0.18,34,0.138,0.082,2020,5,1.0,0,3175051001,PASAR REBO,GEDONG
21,21,1.0,0.5,0.0,0.0,1.0,2.75,0.6666666666666666,0.8333333333333334,0.25,8,0.176,0.066,2020,5,1.0,0,3175071006,DUREN SAWIT,MALAKA JAYA
19,19,0.9375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3,27,0.095,0.111,2020,5,1.0,0,3174031001,MAMPANG PRAPATAN,MAMPANG PRAPATAN
29,29,0.8947368421052632,0.2,0.0,0.0,1.0,3.8,1.0,0.8,0.24,38,0.094,0.036,2020,5,1.0,0,3171021005,SAWAH BESAR,MANGGA DUA SELATAN
14,14,1.0,0.5,0.0,0.0,1.0,3.5,0.4,0.6,0.18,12,0.11,0.006,2020,5,1.0,0,3175031004,JATINEGARA,RAWA BUNGA
14,14,1.0,1.0,0.0,0.0,1.0,4.0,0.5,1.0,0.3,31,0.047,0.12,2020,5,1.0,0,3173071006,PALMERAH,KOTA BAMBU SELATAN
15,15,1.0,0.6666666666666666,0.125,0.0,0.875,1.3333333333333333,0.375,0.375,0.1999999999999999,14,0.071,0.24,2020,5,1.0,0,3173061002,KALI DERES,SEMANAN
45,45,1.0,0.5714285714285714,0.1111111111111111,0.0,0.8888888888888888,4.142857142857143,0.7777777777777778,0.7777777777777778,0.3111111111111111,38,0.094,0.036,2020,5,1.0,0,3171021003,SAWAH BESAR,KARTINI
47,47,0.95,0.6666666666666666,0.1666666666666666,0.0,0.8333333333333334,1.3333333333333333,1.25,0.3333333333333333,0.2166666666666666,28,0.184,0.04,2020,5,1.0,0,3175011004,MATRAMAN,PAL MERIAM
28,28,0.9166666666666666,0.75,0.25,0.0,0.75,1.5,1.0,0.375,0.2875,41,0.119,0.0,2020,5,1.0,0,3173031001,TAMAN SARI,TAMAN SARI
9,9,1.0,0.0,0.0,0.0,1.0,2.5,1.0,1.0,0.3,42,0.106,0.03,2020,5,1.0,0,3173041007,TAMBORA,ANGKE
14,14,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0.279,0.163,2020,5,1.0,0,3174061004,CILANDAK,GANDARIA SELATAN
54,54,1.0,0.7058823529411765,0.125,0.0,0.875,1.7058823529411764,2.125,0.75,0.3125,38,0.094,0.036,2020,5,1.0,0,3171021002,SAWAH BESAR,KARANG ANYAR
14,14,1.0,0.0,0.0,0.0,1.0,5.0,0.125,0.75,0.2249999999999999,29,0.144,0.133,2020,5,1.0,0,3171061005,MENTENG,KEBON SIRIH
40,40,0.9565217391304348,0.5714285714285714,0.0,0.0,1.0,3.2857142857142856,0.7,0.6,0.18,7,0.073,0.053,2020,5,1.0,0,3175091003,CIRACAS,KELAPA DUA WETAN
43,43,1.0,0.125,0.1176470588235294,0.0,0.8823529411764706,2.25,0.4705882352941176,0.2941176470588235,0.1705882352941176,39,0.075,0.114,2020,5,1.0,0,3171041004,SENEN,KRAMAT
19,19,1.0,1.0,0.2222222222222222,0.0,0.7777777777777778,9.0,0.1111111111111111,0.4444444444444444,0.2888888888888888,40,0.168,0.223,2020,5,1.0,0,3174021008,SETIA BUDI,KUNINGAN TIMUR
13,13,1.0,1.0,0.0,0.0,1.0,1.6666666666666667,0.6,0.8,0.24,26,0.122,0.202,2020,5,1.0,0,3175081001,MAKASAR,MAKASAR
12,12,1.0,0.0,0.0,0.2,0.8,6.0,0.2,0.2,0.06,32,0.056,0.121,2020,5,1.0,0,3174081005,PANCORAN,PENGADEGAN
186,186,0.9838709677419356,0.5263157894736842,0.0285714285714285,0.0095238095238095,0.961904761904762,3.263157894736842,0.1809523809523809,0.219047619047619,0.0857142857142857,43,0.07,0.082,2020,5,1.0,0,3171071004,TANAH ABANG,PETAMBURAN
29,29,0.9444444444444444,0.4,0.0,0.0,1.0,3.6,0.8333333333333334,0.6666666666666666,0.1999999999999999,5,0.129,0.0,2020,5,1.0,0,3172041005,CILINCING,SEMPER TIMUR
23,23,0.875,0.1666666666666666,0.1111111111111111,0.0,0.8888888888888888,1.3333333333333333,0.6666666666666666,0.4444444444444444,0.211111111111111,43,0.07,0.082,2020,5,1.0,0,3171071007,TANAH ABANG,KAMPUNG BALI
18,18,1.0,0.25,0.0,0.0,1.0,0.75,2.0,0.75,0.2249999999999999,42,0.106,0.03,2020,5,1.0,0,3173041009,TAMBORA,PEKOJAN
11,11,1.0,0.0,0.1666666666666666,0.1666666666666666,0.6666666666666666,4.0,0.1666666666666666,0.3333333333333333,0.2166666666666666,3,0.1,0.095,2020,5,1.0,0,3173011003,CENGKARENG,RAWA BUAYA
10,10,1.0,1.0,0.0,0.0,1.0,2.5,0.6666666666666666,0.6666666666666666,0.1999999999999999,41,0.119,0.0,2020,5,1.0,0,3173031006,TAMAN SARI,KEAGUNGAN
38,38,0.7692307692307693,0.5,0.0476190476190476,0.0476190476190476,0.9047619047619048,3.25,0.1904761904761904,0.7619047619047619,0.2619047619047618,44,0.122,0.056,2020,5,1.0,0,3172021001,TANJUNG PRIOK,TANJUNG PRIOK
32,32,0.9,0.5625,0.1666666666666666,0.0,0.8333333333333334,0.625,2.6666666666666665,0.5,0.2666666666666666,19,0.118,0.047,2020,5,1.0,0,3171031001,KEMAYORAN,KEMAYORAN
8,8,0.8,0.0,0.0,0.0,1.0,5.0,0.5,1.0,0.3,9,0.143,0.095,2020,5,1.0,0,3171011001,GAMBIR,GAMBIR
38,38,0.9166666666666666,0.8333333333333334,0.0,0.0,1.0,4.0,0.75,0.75,0.2249999999999999,1,0.108,0.141,2020,5,1.0,0,3175061007,CAKUNG,CAKUNG BARAT
16,16,1.0,0.5714285714285714,0.2,0.4,0.4,0.5714285714285714,1.4,0.2,0.1999999999999999,29,0.144,0.133,2020,5,1.0,0,3171061003,MENTENG,CIKINI
9,9,0.5,1.0,0.1666666666666666,0.0,0.8333333333333334,2.0,0.1666666666666666,0.6666666666666666,0.3166666666666666,32,0.056,0.121,2020,5,1.0,0,3174081006,PANCORAN,CIKOKO
17,17,0.8571428571428571,0.0,0.1428571428571428,0.0,0.8571428571428571,2.333333333333333,0.4285714285714285,0.5714285714285714,0.2714285714285714,12,0.11,0.006,2020,5,1.0,0,3175031001,JATINEGARA,KAMPUNG MELAYU
11,11,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,27,0.095,0.111,2020,5,1.0,0,3174031005,MAMPANG PRAPATAN,KUNINGAN BARAT
9,9,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.1999999999999999,39,0.075,0.114,2020,5,1.0,0,3171041005,SENEN,KWITANG
34,34,0.9523809523809524,0.625,0.2,0.0,0.8,2.625,1.6,0.4,0.26,5,0.129,0.0,2020,5,1.0,0,3172041003,CILINCING,MARUNDA
10,10,1.0,0.3333333333333333,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1,0.108,0.141,2020,5,1.0,0,3175061002,CAKUNG,RAWA TERATE
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.106,0.03,2020,5,1.0,0,3173041010,TAMBORA,ROA MALAKA
12,12,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,1.25,1.3333333333333333,0.0,0.2333333333333333,39,0.075,0.114,2020,5,1.0,0,3171041001,SENEN,SENEN
39,39,1.0,0.375,0.0,0.0,1.0,3.125,1.3333333333333333,0.3333333333333333,0.0999999999999999,19,0.118,0.047,2020,5,1.0,0,3171031004,KEMAYORAN,SERDANG
51,51,1.0,0.7272727272727273,0.2307692307692307,0.0,0.7692307692307693,2.4545454545454546,0.8461538461538461,0.3076923076923077,0.2538461538461538,1,0.108,0.141,2020,5,1.0,0,3175061001,CAKUNG,JATINEGARA
20,20,1.0,0.7142857142857143,0.0,0.0,1.0,1.5714285714285714,3.5,1.0,0.3,23,0.019,0.046,2020,5,1.0,0,3172031004,KOJA,RAWA BADAK UTARA
9,9,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,0.4333333333333333,42,0.106,0.03,2020,5,1.0,0,3173041004,TAMBORA,TANAH SEREAL
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0.106,0.03,2020,5,1.0,0,3173041011,TAMBORA,DURI SELATAN
4,4,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.3,42,0.106,0.03,2020,5,1.0,0,3173041003,TAMBORA,DURI UTARA
4,4,0.5,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,37,0.111,0.087,2020,5,1.0,0,3175021004,PULO GADUNG,JATINEGARA KAUM
7,7,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5666666666666667,42,0.106,0.03,2020,5,1.0,0,3173041002,TAMBORA,KALI ANYAR
15,15,1.0,0.25,0.2,0.0,0.8,0.25,1.6,0.2,0.1999999999999999,41,0.119,0.0,2020,5,1.0,0,3173031002,TAMAN SARI,KRUKUT
9,9,1.0,1.0,0.0,0.0,1.0,1.3333333333333333,1.5,1.0,0.3,41,0.119,0.0,2020,5,1.0,0,3173031005,TAMAN SARI,MANGGA BESAR
18,18,1.0,0.6,0.1,0.0,0.9,0.6,0.5,0.7,0.2799999999999999,45,0.1,0.135,2020,5,1.0,0,3174011006,TEBET,MANGGARAI SELATAN
44,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,2020,5,1.0,0,3101011003,KEP. SERIBU UTARA,PULAU HARAPAN
34,34,0.9666666666666668,0.6666666666666666,0.0,0.0,1.0,10.0,3.0,0.0,0.0,22,0.0,0.0,2020,5,1.0,0,3101011002,KEP. SERIBU UTARA,PULAU KELAPA
37,37,0.9642857142857144,1.0,0.0,0.0,0.0,3.111111111111111,0.0,0.0,0.0,22,0.0,0.0,2020,5,1.0,0,3101011001,KEP. SERIBU UTARA,PULAU PANGGANG
8,8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21,0.0,0.0,2020,5,1.0,0,3101021003,KEP. SERIBU SELATAN,PULAU PARI
30,30,0.9523809523809524,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,0.0,0.0,2020,5,1.0,0,3101021002,KEP. SERIBU SELATAN,PULAU TIDUNG
8,8,1.0,0.0,0.0,0.0,1.0,2.5,2.0,0.0,0.0,41,0.119,0.0,2020,5,1.0,0,3173031008,TAMAN SARI,PINANGSIA
8,8,1.0,0.5,0.0,0.3333333333333333,0.6666666666666666,0.25,1.3333333333333333,0.6666666666666666,0.1999999999999999,40,0.168,0.223,2020,5,1.0,0,3174021001,SETIA BUDI,SETIA BUDI
3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.106,0.03,2020,5,1.0,0,3173041001,TAMBORA,TAMBORA
12,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,2020,5,1.0,0,3101021001,KEP. SERIBU SELATAN,PULAU UNTUNG JAWA
5819,5819,0.9815512048192772,0.9454941860465116,0.0145985401459854,0.0316301703163017,0.9537712895377128,0.9651162790697676,6.695863746958637,0.8272506082725061,0.2583941605839416,0,0.015,0.032,2020,5,1.0,0,BELUM DIKETAHUI,BELUM DIKETAHUI,BELUM DIKETAHUI
3027,3027,0.982089552238806,0.8682766190998902,0.0695876288659793,0.0837628865979381,0.8466494845360825,1.4709110867178925,1.1739690721649485,0.5592783505154639,0.2164948453608247,25,0.07,0.084,2020,5,1.0,0,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA
65,65,0.8888888888888888,0.75,0.075,0.275,0.65,0.5625,0.4,0.325,0.15,14,0.071,0.24,2020,5,1.0,0,3173061005,KALI DERES,PEGADUNGAN
30,30,1.0,0.0,0.0,0.8823529411764706,0.1176470588235294,0.0833333333333333,0.7058823529411765,0.0,0.0,15,0.043,0.33,2020,5,1.0,0,3174071006,KEBAYORAN BARU,SENAYAN
68,68,1.0,0.6153846153846154,0.1612903225806451,0.1935483870967742,0.6451612903225806,1.8461538461538465,0.4193548387096774,0.4193548387096774,0.2387096774193548,17,0.086,0.169,2020,5,1.0,0,3173051001,KEBON JERUK,KEBON JERUK
114,114,1.0,0.7368421052631579,0.1333333333333333,0.3,0.5666666666666667,1.2105263157894737,1.2666666666666666,0.3,0.1833333333333333,18,0.067,0.168,2020,5,1.0,0,3172061001,KELAPA GADING,KELAPA GADING TIMUR
87,87,0.9782608695652174,0.5,0.032258064516129,0.4516129032258064,0.5161290322580645,4.6,0.3225806451612903,0.3225806451612903,0.1193548387096774,10,0.122,0.242,2020,5,1.0,0,3173021003,GROGOL PETAMBURAN,TOMANG
62,62,1.0,0.3076923076923077,0.1379310344827586,0.1724137931034483,0.6896551724137931,1.5384615384615383,0.4482758620689655,0.5862068965517241,0.2724137931034482,8,0.176,0.066,2020,5,1.0,0,3175071001,DUREN SAWIT,DUREN SAWIT
67,67,0.9545454545454546,0.6923076923076923,0.15625,0.28125,0.5625,1.6923076923076923,0.40625,0.3125,0.203125,14,0.071,0.24,2020,5,1.0,0,3173061001,KALI DERES,KALIDERES
61,61,0.9047619047619048,0.3333333333333333,0.2580645161290322,0.032258064516129,0.7096774193548387,2.333333333333333,0.2903225806451613,0.3870967741935484,0.2967741935483871,16,0.16,0.159,2020,5,1.0,0,3174051002,KEBAYORAN LAMA,PONDOK PINANG
67,67,1.0,0.3333333333333333,0.1063829787234042,0.0425531914893617,0.851063829787234,2.333333333333333,0.1276595744680851,0.4468085106382978,0.2085106382978723,8,0.176,0.066,2020,5,1.0,0,3175071004,DUREN SAWIT,PONDOK KELAPA
70,70,0.9090909090909092,0.7391304347826086,0.12,0.2,0.68,0.9565217391304348,0.92,0.44,0.216,4,0.279,0.163,2020,5,1.0,0,3174061001,CILANDAK,CILANDAK BARAT
36,36,1.0,0.75,0.1111111111111111,0.3333333333333333,0.5555555555555556,1.25,0.4444444444444444,0.2777777777777778,0.1611111111111111,20,0.05,0.207,2020,5,1.0,0,3173081004,KEMBANGAN,SRENGSENG
46,46,0.9375,1.0,0.0952380952380952,0.1904761904761904,0.7142857142857143,1.7777777777777777,0.4285714285714285,0.3809523809523809,0.1809523809523809,45,0.1,0.135,2020,5,1.0,0,3174011003,TEBET,MENTENG DALAM
150,150,0.9871794871794872,0.8571428571428571,0.0681818181818181,0.1363636363636363,0.7954545454545454,2.7857142857142856,0.6363636363636364,0.3863636363636363,0.1636363636363636,18,0.067,0.168,2020,5,1.0,0,3172061003,KELAPA GADING,KELAPA GADING BARAT
29,29,1.0,0.5714285714285714,0.0909090909090909,0.4545454545454545,0.4545454545454545,1.5714285714285714,0.6363636363636364,0.1818181818181818,0.1181818181818181,27,0.095,0.111,2020,5,1.0,0,3174031002,MAMPANG PRAPATAN,BANGKA
35,35,1.0,0.6666666666666666,0.0869565217391304,0.2608695652173913,0.6521739130434783,1.0,0.2608695652173913,0.5652173913043478,0.2304347826086956,26,0.122,0.202,2020,5,1.0,0,3175081004,MAKASAR,HALIM PERDANA KUSUMAH
159,159,0.9148936170212766,0.4444444444444444,0.1044776119402985,0.0597014925373134,0.835820895522388,1.0444444444444445,0.6716417910447762,0.5970149253731343,0.2522388059701492,44,0.122,0.056,2020,5,1.0,0,3172021006,TANJUNG PRIOK,SUNTER AGUNG
75,75,0.9629629629629628,0.8333333333333334,0.0833333333333333,0.125,0.7916666666666666,1.125,1.0,0.5416666666666666,0.2208333333333333,35,0.112,0.06,2020,5,1.0,0,3172011005,PENJARINGAN,PLUIT
43,43,1.0,0.8666666666666667,0.1111111111111111,0.0555555555555555,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.4444444444444444,0.211111111111111,11,0.06,0.078,2020,5,1.0,0,3174091005,JAGAKARSA,TANJUNG BARAT
62,62,1.0,0.4615384615384615,0.0689655172413793,0.0689655172413793,0.8620689655172413,1.5384615384615383,0.4482758620689655,0.5517241379310345,0.2137931034482758,17,0.086,0.169,2020,5,1.0,0,3173051005,KEBON JERUK,DURI KEPA
57,57,1.0,0.4375,0.0,0.1052631578947368,0.8947368421052632,1.375,0.8421052631578947,0.5789473684210527,0.1736842105263158,37,0.111,0.087,2020,5,1.0,0,3175021007,PULO GADUNG,JATI
23,23,1.0,0.6666666666666666,0.2,0.2,0.6,1.6666666666666667,0.2,0.3333333333333333,0.24,45,0.1,0.135,2020,5,1.0,0,3174011001,TEBET,TEBET TIMUR
