positif,sembuh,meninggal,total_kasus,risk_score,kecamatan_positif_mean,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,dirawat,active_cases,positif,sembuh,meninggal,PC1,PC2,PC3,PC4,PC5
10,0,1,10,-0.11656476116238457,15.285714285714286,0.6542056074766355,57.249070631970255,20.817843866171003,53.71747211895911,2,2,10,0,1,-0.16343613638945684,0.6093879066554705,1.2382351770834414,-2.3520564186010704,0.279977860946934
1,0,0,1,-0.7679218093324711,9.666666666666666,0.10344827586206898,4.83271375464684,20.817843866171003,20.63197026022305,1,1,1,0,0,-2.6951771747660915,-2.2209889607674453,1.0149162096149338,-1.147377062876845,0.5642923278981523
1,0,0,1,-0.7778883847878548,8.4,0.11904761904761904,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0,-2.7866323703053233,-2.4711241596093787,0.7359784134524097,-0.8473303877287456,0.4086397457469763
5,0,0,5,-0.5847190439951154,6.8,0.7352941176470589,24.721189591078065,20.817843866171003,20.63197026022305,3,3,5,0,0,-2.1774886973924894,-1.9647980343526041,0.03704203421743616,-0.5783190619587868,0.5304328598564526
6,0,0,6,-0.523968489477701,17.714285714285715,0.3387096774193548,31.970260223048324,20.817843866171003,20.63197026022305,5,5,6,0,0,-0.9262551384491388,0.014562194274945317,3.266709400497078,-2.249429853965157,0.7202099454013036
3,0,0,3,-0.6663538512084096,7.6,0.39473684210526316,14.684014869888475,20.817843866171003,20.63197026022305,3,3,3,0,0,-2.624517291132495,-2.4803609844286236,0.12559575901626677,-0.39105057818272243,0.18242623287261425
5,0,0,5,-0.5747524685397318,11.0,0.45454545454545453,24.721189591078065,20.817843866171003,20.63197026022305,4,4,5,0,0,-1.6480557098693054,-2.07424577614916,0.7993957662156961,-0.5872823266621997,0.24494612589637121
5,0,0,5,-0.5847190439951154,9.375,0.5333333333333333,24.721189591078065,20.817843866171003,20.63197026022305,3,3,5,0,0,-1.8677670533633053,-1.6472473535527172,0.8126934039129124,-0.9420903606636988,0.6352056599976773
4,0,0,4,-0.6155698721463788,12.166666666666666,0.32876712328767127,19.702602230483272,20.817843866171003,20.63197026022305,4,4,4,0,0,-1.8082000053418354,-1.1912797577365617,2.1274289744592956,-1.1304765230554432,0.055334820015702564
8,0,1,8,-0.11972453285657525,16.8,0.47619047619047616,46.28252788104089,20.817843866171003,53.71747211895911,3,3,8,0,1,-0.5487921418535074,0.714905845040545,2.008004572341829,-2.196392594444288,-0.6014297657535417
