positif,dirawat,total_kasus,active_cases,risk_score,kecamatan_positif_mean,kecamatan_positif_min,kecamatan_positif_max,positif_vs_kecamatan_mean,positif_percentile,positif
10,2,10,2,-0.11656476116238457,15.285714285714286,4,30,0.6542056074766355,57.249070631970255,10
1,1,1,1,-0.7679218093324711,9.666666666666666,1,18,0.10344827586206898,4.83271375464684,1
1,0,1,0,-0.7778883847878548,8.4,1,18,0.11904761904761904,4.83271375464684,1
5,3,5,3,-0.5847190439951154,6.8,3,19,0.7352941176470589,24.721189591078065,5
6,5,6,5,-0.523968489477701,17.714285714285715,6,30,0.3387096774193548,31.970260223048324,6
3,3,3,3,-0.6663538512084096,7.6,0,14,0.39473684210526316,14.684014869888475,3
5,4,5,4,-0.5747524685397318,11.0,5,17,0.45454545454545453,24.721189591078065,5
5,3,5,3,-0.5847190439951154,9.375,5,20,0.5333333333333333,24.721189591078065,5
4,4,4,4,-0.6155698721463788,12.166666666666666,4,27,0.32876712328767127,19.702602230483272,4
8,3,8,3,-0.11972453285657525,16.8,2,30,0.47619047619047616,46.28252788104089,8
9,7,9,7,-0.07710108301934886,11.0,5,17,0.8181818181818182,52.41635687732342,9
12,4,12,4,0.16769242379826307,13.166666666666666,2,27,0.9113924050632912,64.12639405204462,12
8,3,8,3,0.22281776746202378,6.625,1,30,1.2075471698113207,46.28252788104089,8
2,2,2,2,-0.7171378302704404,2.8181818181818183,0,6,0.7096774193548386,9.107806691449815,2
3,1,3,1,0.22715913206375357,15.2,3,25,0.19736842105263158,14.684014869888475,3
8,6,8,6,-0.08982480649042417,11.0,5,17,0.7272727272727273,46.28252788104089,8
8,6,8,6,-0.4323671068090231,10.6,5,18,0.7547169811320755,46.28252788104089,8
10,6,10,6,-0.350732299595729,8.4,1,18,1.1904761904761905,57.249070631970255,10
17,5,17,5,0.24741570343645122,9.666666666666666,3,17,1.7586206896551726,80.85501858736059,17
9,4,9,4,0.19748123534214357,6.125,3,12,1.469387755102041,52.41635687732342,9
5,4,5,4,-0.5747524685397318,9.8,2,23,0.5102040816326531,24.721189591078065,5
5,1,5,1,-0.6046521949058828,7.166666666666667,5,12,0.6976744186046512,24.721189591078065,5
30,23,30,23,0.9090813955336147,17.285714285714285,5,30,1.7355371900826446,96.6542750929368,30
6,4,6,4,-0.5339350649330847,6.285714285714286,5,9,0.9545454545454546,31.970260223048324,6
9,4,9,4,-0.10700080938549994,17.285714285714285,5,30,0.5206611570247934,52.41635687732342,9
4,3,4,3,-0.6255364476017625,2.8181818181818183,0,6,1.4193548387096773,19.702602230483272,4
6,2,6,2,-0.09714514875238683,12.5,6,19,0.48,31.970260223048324,6
3,2,3,2,-0.6763204266637933,6.625,1,30,0.4528301886792453,14.684014869888475,3
21,16,21,16,0.3284171995145016,15.285714285714286,4,30,1.3738317757009346,87.73234200743495,21
6,3,6,3,-0.08717857329700314,9.125,5,18,0.6575342465753424,31.970260223048324,6
2,2,2,2,-0.7171378302704404,5.666666666666667,1,11,0.3529411764705882,9.107806691449815,2
8,6,8,6,-0.4323671068090231,11.428571428571429,1,28,0.7,46.28252788104089,8
5,1,5,1,-0.056584514396124476,10.6,5,18,0.4716981132075472,24.721189591078065,5
6,4,6,4,-0.07721199784161945,7.166666666666667,5,12,0.8372093023255813,31.970260223048324,6
7,4,7,4,-0.10164074667661027,9.375,5,20,0.7466666666666667,39.405204460966544,7
0,0,0,0,-0.818705788394502,7.6,0,14,0.0,1.486988847583643,0
3,2,3,2,-0.6763204266637933,9.666666666666666,3,17,0.3103448275862069,14.684014869888475,3
5,2,5,2,-0.04661793894074079,6.285714285714286,5,9,0.7954545454545455,24.721189591078065,5
