positif,sembuh,meninggal,total_kasus,risk_score,kecamatan_positif_mean,positif_vs_kecamatan_mean,positif_percentile,sembuh_percentile,meninggal_percentile,dirawat,active_cases,positif,sembuh,meninggal
10,0,1,10,-0.11656476116238457,15.285714285714286,0.6542056074766355,57.249070631970255,20.817843866171003,53.71747211895911,2,2,10,0,1
1,0,0,1,-0.7679218093324711,9.666666666666666,0.10344827586206898,4.83271375464684,20.817843866171003,20.63197026022305,1,1,1,0,0
1,0,0,1,-0.7778883847878548,8.4,0.11904761904761904,4.83271375464684,20.817843866171003,20.63197026022305,0,0,1,0,0
5,0,0,5,-0.5847190439951154,6.8,0.7352941176470589,24.721189591078065,20.817843866171003,20.63197026022305,3,3,5,0,0
6,0,0,6,-0.523968489477701,17.714285714285715,0.3387096774193548,31.970260223048324,20.817843866171003,20.63197026022305,5,5,6,0,0
3,0,0,3,-0.6663538512084096,7.6,0.39473684210526316,14.684014869888475,20.817843866171003,20.63197026022305,3,3,3,0,0
5,0,0,5,-0.5747524685397318,11.0,0.45454545454545453,24.721189591078065,20.817843866171003,20.63197026022305,4,4,5,0,0
5,0,0,5,-0.5847190439951154,9.375,0.5333333333333333,24.721189591078065,20.817843866171003,20.63197026022305,3,3,5,0,0
4,0,0,4,-0.6155698721463788,12.166666666666666,0.32876712328767127,19.702602230483272,20.817843866171003,20.63197026022305,4,4,4,0,0
8,0,1,8,-0.11972453285657525,16.8,0.47619047619047616,46.28252788104089,20.817843866171003,53.71747211895911,3,3,8,0,1
9,0,1,9,-0.07710108301934886,11.0,0.8181818181818182,52.41635687732342,20.817843866171003,53.71747211895911,7,7,9,0,1
12,0,2,12,0.16769242379826307,13.166666666666666,0.9113924050632912,64.12639405204462,20.817843866171003,74.53531598513011,4,4,12,0,2
8,0,2,8,0.22281776746202378,6.625,1.2075471698113207,46.28252788104089,20.817843866171003,74.53531598513011,3,3,8,0,2
2,0,0,2,-0.7171378302704404,2.8181818181818183,0.7096774193548386,9.107806691449815,20.817843866171003,20.63197026022305,2,2,2,0,0
3,1,1,3,0.22715913206375357,15.2,0.19736842105263158,14.684014869888475,55.20446096654275,53.71747211895911,1,1,3,1,1
8,0,1,8,-0.08982480649042417,11.0,0.7272727272727273,46.28252788104089,20.817843866171003,53.71747211895911,6,6,8,0,1
8,0,0,8,-0.4323671068090231,10.6,0.7547169811320755,46.28252788104089,20.817843866171003,20.63197026022305,6,6,8,0,0
10,0,0,10,-0.350732299595729,8.4,1.1904761904761905,57.249070631970255,20.817843866171003,20.63197026022305,6,6,10,0,0
17,0,2,17,0.24741570343645122,9.666666666666666,1.7586206896551726,80.85501858736059,20.817843866171003,74.53531598513011,5,5,17,0,2
